Player 1,Player 2,Player 2 Win % (Trick),Player 2 Win % (Total),Draw % (Trick),Draw % (Total)
BBB,BBB,0.0,0.0,0.001329,0.001329
BBB,BBR,0.438315,0.50405,0.154939,0.020203
BBB,BRB,0.66521,0.70747,0.122649,0.01674
BBB,BRR,0.766826,0.798983,0.119,0.020719
BBB,RBB,0.995074,0.999972,0.003666,0.0
BBB,RBR,0.694212,0.725473,0.136804,0.02088
BBB,RRB,0.967095,0.988333,0.024418,0.002471
BBB,RRR,0.324795,0.484277,0.350601,0.029489
BBR,BBB,0.406746,0.475747,0.154939,0.020203
BBR,BBR,0.0,0.0,0.0,0.0
BBR,BRB,0.116729,0.123003,0.083456,0.013037
BBR,BRR,0.050949,0.036764,0.065889,0.008264
BBR,RBB,0.93514,0.997553,0.038709,0.000442
BBR,RBR,0.114204,0.069432,0.092081,0.013978
BBR,RRB,0.406235,0.476755,0.185099,0.045375
BBR,RRR,0.008387,0.008955,0.024409,0.002397
BRB,BBB,0.212141,0.27579,0.122649,0.01674
BRB,BBR,0.799815,0.86396,0.083456,0.013037
BRB,BRB,0.0,0.0,0.000764,0.000764
BRB,BRR,0.426915,0.481849,0.136992,0.028474
BRB,RBB,0.438998,0.557361,0.1352,0.021791
BRB,RBR,0.404118,0.489193,0.188285,0.023582
BRB,RRB,0.789217,0.91785,0.097796,0.01364
BRB,RRR,0.167346,0.250968,0.138858,0.022489
BRR,BBB,0.114174,0.180298,0.119,0.020719
BRR,BBR,0.883162,0.954972,0.065889,0.008264
BRR,BRB,0.436093,0.489677,0.136992,0.028474
BRR,BRR,0.0,0.0,0.0,0.0
BRR,RBB,0.431222,0.487214,0.137571,0.029137
BRR,RBR,0.425394,0.423359,0.135377,0.021185
BRR,RRB,0.026492,0.00198,0.039905,0.000431
BRR,RRR,0.001263,1.4e-05,0.003635,0.0
RBB,BBB,0.00126,2.8e-05,0.003666,0.0
RBB,BBR,0.026151,0.002005,0.038709,0.000442
RBB,BRB,0.425802,0.420848,0.1352,0.021791
RBB,BRR,0.431207,0.483649,0.137571,0.029137
RBB,RBB,0.0,0.0,0.0,0.0
RBB,RBR,0.431048,0.487904,0.139686,0.028746
RBB,RRB,0.883491,0.956733,0.064661,0.007954
RBB,RRR,0.112865,0.17493,0.119139,0.020646
RBR,BBB,0.168984,0.253647,0.136804,0.02088
RBR,BBR,0.793715,0.91659,0.092081,0.013978
RBR,BRB,0.407597,0.487225,0.188285,0.023582
RBR,BRR,0.439229,0.555456,0.135377,0.021185
RBR,RBB,0.429266,0.48335,0.139686,0.028746
RBR,RBR,0.0,0.0,0.000564,0.000564
RBR,RRB,0.799983,0.861291,0.083102,0.013355
RBR,RRR,0.214167,0.277547,0.123852,0.016463
RRB,BBB,0.008487,0.009196,0.024418,0.002471
RRB,BBR,0.408666,0.47787,0.185099,0.045375
RRB,BRB,0.112987,0.06851,0.097796,0.01364
RRB,BRR,0.933603,0.997589,0.039905,0.000431
RRB,RBB,0.051848,0.035313,0.064661,0.007954
RRB,RBR,0.116915,0.125354,0.083102,0.013355
RRB,RRB,0.0,0.0,0.0,0.0
RRB,RRR,0.406377,0.474146,0.155461,0.020466
RRR,BBB,0.324604,0.486234,0.350601,0.029489
RRR,BBR,0.967204,0.988648,0.024409,0.002397
RRR,BRB,0.693796,0.726543,0.138858,0.022489
RRR,BRR,0.995102,0.999986,0.003635,0.0
RRR,RBB,0.767996,0.804424,0.119139,0.020646
RRR,RBR,0.661981,0.70599,0.123852,0.016463
RRR,RRB,0.438162,0.505388,0.155461,0.020466
RRR,RRR,0.0,0.0,0.001482,0.001482
